amp; max; min; volt; max; min; wattage; mah; Joule
453,77;455,8;451,7;4,93;4,94;4,93;2,0;15,24;0,3
452,53;453,0;451,7;4,93;4,93;4,93;2,0;15,26;0,3
452,33;452,5;451,5;4,93;4,93;4,93;2,0;15,29;0,3
452,17;459,0;445,0;4,93;4,93;4,93;2,0;15,31;0,3
458,7;482,8;445,0;4,93;4,94;4,93;2,0;15,34;0,3
458,83;488,6;439,6;4,94;4,94;4,93;2,0;15,37;0,3
440,7;442,1;439,6;4,94;4,94;4,93;2,0;15,39;0,3
463,03;508,5;438,5;4,93;4,94;4,91;2,0;15,42;0,3
437,9;445,4;432,7;4,94;4,94;4,94;2,0;15,45;0,3
437,33;443,4;432,7;4,94;4,94;4,94;2,0;15,48;0,3
308,77;250,4;240,0;4,97;5,0;4,94;2,0;15,49;0,3
269,1;304,1;250,4;4,98;4,99;4,97;1,0;15,51;0,15
231,07;249,0;191,4;4,99;5,01;4,99;1,0;15,52;0,15
280,83;442,3;191,4;5,0;5,0;4,99;1,0;15,54;0,15
223,47;247,3;208,8;4,99;5,0;4,99;1,0;15,55;0,15
247,8;254,6;241,5;4,99;4,99;4,99;1,0;15,56;0,15
241,23;246,3;235,9;4,99;4,99;4,99;1,0;15,58;0,15
235,57;246,4;224,4;4,99;5,0;4,99;1,0;15,59;0,15
205,2;210,9;180,3;5,0;5,01;5,0;1,0;15,6;0,15
200,93;219,0;180,3;5,0;5,0;5,0;1,0;15,62;0,15
221,53;251,5;199,7;5,0;5,0;4,99;1,0;15,63;0,15
208,07;218,6;192,2;5,0;5,0;5,0;1,0;15,64;0,15
202,77;217,7;192,2;5,0;5,0;5,0;1,0;15,65;0,15
206,63;224,0;197,5;5,0;5,0;5,0;1,0;15,67;0,15
209,2;216,8;197,5;5,0;5,0;4,99;1,0;15,68;0,15
211,07;210,6;209,3;5,0;5,0;4,99;1,0;15,69;0,15
198,23;199,6;184,5;5,0;5,0;5,0;1,0;15,7;0,15
205,07;215,0;199,6;5,0;5,0;5,0;1,0;15,71;0,15
198,63;216,1;179,2;5,0;5,01;5,0;1,0;15,73;0,15
140,13;125,3;113,4;5,02;5,02;5,0;1,0;15,73;0,15
113,77;114,9;113,0;5,02;5,03;5,02;1,0;15,74;0,15
116,17;117,8;114,9;5,03;5,03;5,03;1,0;15,75;0,15
126,93;132,7;117,8;5,03;5,02;5,02;1,0;15,75;0,15
