amp, max, min, volt, max, min, wattage, mah, Joule
3.57,4.5,3.1,5.06,5.06,5.06,0.0,176.58,0.0
7.07,13.9,2.8,5.06,5.06,5.05,0.0,176.58,0.0
6.67,3.1,3.0,5.06,5.06,5.05,0.0,176.58,0.0
3.0,3.0,2.9,5.06,5.06,5.06,0.0,176.58,0.0
2.97,3.1,2.9,5.06,5.06,5.06,0.0,176.58,0.0
3.17,3.5,2.9,5.06,5.06,5.06,0.0,176.58,0.0
3.63,4.4,3.0,5.06,5.06,5.06,0.0,176.58,0.0
2.9,2.9,2.8,5.06,5.06,5.06,0.0,176.58,0.0
2.8,2.8,2.7,5.06,5.06,5.06,0.0,176.58,0.0
2.83,2.9,2.8,5.06,5.06,5.06,0.0,176.58,0.0
3.07,3.3,2.8,5.06,5.06,5.06,0.0,176.58,0.0
2.97,3.0,2.8,5.06,5.06,5.06,0.0,176.58,0.0
2.97,3.0,2.9,5.06,5.06,5.06,0.0,176.58,0.0
2.93,3.2,2.6,5.06,5.06,5.06,0.0,176.58,0.0
2.8,2.9,2.6,5.06,5.06,5.06,0.0,176.58,0.0
2.83,3.0,2.6,5.06,5.06,5.06,0.0,176.58,0.0
3.43,4.5,2.6,5.06,5.06,5.06,0.0,176.58,0.0
3.03,3.1,2.8,5.06,5.06,5.06,0.0,176.58,0.0
2.93,3.0,2.8,5.06,5.06,5.06,0.0,176.58,0.0
38.13,58.0,3.0,5.05,5.04,5.04,0.0,176.58,0.0
122.43,260.4,53.4,5.01,5.05,4.95,1.0,176.59,0.15
69.87,79.0,53.5,5.04,5.04,5.04,0.0,176.6,0.0
75.03,78.7,67.4,5.04,5.04,5.04,0.0,176.6,0.0
114.13,255.5,55.3,5.03,5.04,5.0,1.0,176.61,0.15
267.43,227.7,200.8,4.99,5.01,4.96,1.0,176.63,0.15
191.63,201.4,172.7,5.01,5.01,5.0,1.0,176.64,0.15
109.67,79.1,77.2,5.03,5.04,5.01,1.0,176.65,0.15
70.07,79.3,53.7,5.04,5.04,5.04,0.0,176.65,0.0
70.73,79.2,53.7,5.04,5.04,5.04,0.0,176.66,0.0
72.17,81.1,56.2,5.04,5.05,5.04,0.0,176.66,0.0
79.2,77.3,77.3,5.04,5.04,5.04,0.0,176.66,0.0
78.68,80.8,77.3,5.04,5.04,5.04,0.0,176.67,0.0
71.3,80.7,54.0,5.04,5.05,5.04,0.0,176.67,0.0
63.07,81.1,54.0,5.04,5.04,5.04,0.0,176.68,0.0
66.8,79.5,54.1,5.04,5.04,5.04,0.0,176.68,0.0
153.03,202.0,79.5,5.02,5.01,5.01,1.0,176.69,0.15
30.47,14.8,14.8,5.05,5.05,5.04,0.0,176.69,0.0
47.47,88.3,14.8,5.05,5.05,5.05,0.0,176.69,0.0
31.4,3.1,2.8,5.06,5.06,5.05,0.0,176.69,0.0
2.87,2.9,2.8,5.06,5.06,5.06,0.0,176.69,0.0
2.8,2.8,2.7,5.06,5.06,5.06,0.0,176.69,0.0
2.73,2.8,2.7,5.06,5.06,5.06,0.0,176.69,0.0
2.9,3.0,2.8,5.06,5.06,5.06,0.0,176.7,0.0
2.9,3.0,2.8,5.06,5.06,5.06,0.0,176.7,0.0
2.8,2.9,2.7,5.06,5.06,5.06,0.0,176.7,0.0
2.8,2.8,2.7,5.06,5.06,5.06,0.0,176.7,0.0
3.0,3.2,2.8,5.06,5.06,5.06,0.0,176.7,0.0
